"id","pillar","question_id","badge","priority","theme","title","trigger","score_condition","condition_summary","condition_json","insight"
"dados-01","dados","dados_q1","risco-critico","1","dados-suficiencia","Base de dados ainda não validada","dados_q1 = 1 (dados insuficientes/pouco claros)","0/5","dados_q1 equals 1","[{""questionId"":""dados_q1"",""op"":""equals"",""values"":[1]}]","A empresa ainda não tem clareza se coleta os dados certos para apoiar as decisões mais importantes. Isso torna qualquer iniciativa de IA mais frágil, porque o modelo pode partir de uma base incompleta ou pouco representativa. O próximo passo é mapear quais decisões críticas dependem de dados e comparar essa necessidade com as fontes disponíveis hoje."
"dados-02","dados","dados_q1","forca-existente","3","dados-suficiencia","Dados prontos para aplicar casos de uso","dados_q1 = 3 (dados relevantes e suficientes)","5/5","dados_q1 equals 3","[{""questionId"":""dados_q1"",""op"":""equals"",""values"":[3]}]","A organização já parece ter uma base de dados relevante para decisões de negócio. Isso reduz uma das principais incertezas de projetos de IA e permite avançar para casos de uso aplicados, como segmentação, previsão, recomendação ou otimização de processos, desde que haja critérios claros de impacto e governança."
"dados-12","dados","dados_q1","oportunidade","2","dados-suficiencia","Dados parcialmente úteis, ainda com lacunas","dados_q1 = 2 (alguns dados relevantes, mas ainda incompletos)","2.5/5","dados_q1 equals 2","[{""questionId"":""dados_q1"",""op"":""equals"",""values"":[2]}]","A empresa já coleta alguns dados relevantes, mas decisões importantes ainda dependem de informações incompletas, análises manuais ou suposições. Antes de avançar para casos de IA mais complexos, vale identificar quais lacunas afetam as decisões prioritárias e resolver primeiro as fontes mais críticas."
"dados-03","dados","dados_q2","risco-critico","1","dados-acesso","Dados isolados travam produção","dados_q2 = 1 (dados isolados em sistemas/arquivos)","0/5","dados_q2 equals 1","[{""questionId"":""dados_q2"",""op"":""equals"",""values"":[1]}]","Dados isolados e de difícil acesso costumam impedir que pilotos cheguem à produção. O modelo pode funcionar em uma demonstração, mas não consegue ser alimentado de forma confiável no dia a dia. Antes de investir em novas modelagens, vale resolver integrações, permissões e disponibilidade das fontes críticas."
"dados-04","dados","dados_q2","forca-existente","3","dados-acesso","Acesso a dados pronto para operação","dados_q2 = 5 (dados facilmente disponíveis)","5/5","dados_q2 equals 5","[{""questionId"":""dados_q2"",""op"":""equals"",""values"":[5]}]","Acesso fácil e governado aos dados é uma base importante para colocar modelos em operação. Com esse fundamento, a organização pode concentrar energia em priorização, monitoramento e adoção, em vez de gastar os primeiros ciclos apenas desbloqueando fontes de dados."
"dados-05","dados","dados_q3","oportunidade","1","dados-escalabilidade","Crescimento ainda depende de mais pessoas","dados_q3 = 1 (""Não"", não cresce sem aumentar o quadro)","0/5","dados_q3 equals 1","[{""questionId"":""dados_q3"",""op"":""equals"",""values"":[1]}]","O crescimento ainda parece depender de aumentar o quadro na mesma proporção, sinal de que há processos manuais ou pouco padronizados. Esse é um bom ponto para investigar automações de alto impacto, especialmente em tarefas repetitivas, triagem, atendimento, análise ou geração de documentos."
"dados-06","dados","dados_q4","risco-critico","1","dados-historico","Sem histórico, sem previsão confiável","dados_q4 = 1 (sem histórico confiável)","0/5","dados_q4 equals 1","[{""questionId"":""dados_q4"",""op"":""equals"",""values"":[1]}]","Sem histórico confiável, casos de uso preditivos, como previsão de demanda, churn ou precificação, ainda terão baixa sustentação. O foco inicial deve ser capturar, organizar e preservar histórico nas áreas críticas, para que a empresa crie uma base de aprendizado antes de depender de previsões automatizadas."
"dados-07","dados","dados_q4","forca-existente","3","dados-historico","Histórico de dados como ativo diferenciado","dados_q4 = 4 (vários anos de histórico confiável)","5/5","dados_q4 equals 4","[{""questionId"":""dados_q4"",""op"":""equals"",""values"":[4]}]","Anos de dados históricos confiáveis são um ativo importante para identificar padrões, testar hipóteses e construir modelos preditivos. Essa vantagem tende a ser difícil de copiar rapidamente, então vale transformar esse histórico em casos de uso mensuráveis antes que ele fique subutilizado."
"dados-08","dados","dados_q5","risco-critico","2","dados-latencia","Decisões mais rápidas que os dados","dados_q5 = 1 (""Raramente"" consegue acessar dados na velocidade da decisão)","0/7","dados_q5 equals 1","[{""questionId"":""dados_q5"",""op"":""equals"",""values"":[1]}]","Quando os dados chegam tarde, as decisões acabam voltando para intuição, mesmo que exista bastante informação armazenada. O problema parece menos relacionado à quantidade de dados e mais à velocidade de acesso, arquitetura e clareza sobre a fonte oficial de cada indicador."
"dados-09","dados","dados_q7","risco-critico","1","dados-confianca","Baixa confiança trava a adoção de IA","dados_q7 = 1 (""Nada confortável"" com decisões baseadas em dados)","0/4","dados_q7 equals 1","[{""questionId"":""dados_q7"",""op"":""equals"",""values"":[1]}]","Baixa confiança nos dados pode bloquear a adoção de IA mesmo quando a solução técnica funciona. Se as pessoas não confiam nos números de origem, tendem a ignorar recomendações automatizadas. O foco deve ser qualidade, rastreabilidade e transparência dos dados antes de escalar decisões orientadas por IA."
"dados-10","dados","dados_q6","risco-critico","1","dados-seguranca","Exposição de dados exige controle antes de escalar","dados_q6 = 1 ou 2 (impacto alto ou muito alto de vazamento)","0 a 1.33/5","dados_q6 equals 1|2","[{""questionId"":""dados_q6"",""op"":""equals"",""values"":[1,2]}]","Se um vazamento teria impacto financeiro, regulatório ou reputacional relevante, iniciativas de IA precisam nascer com controles de acesso, privacidade e revisão bem definidos. O risco não impede a adoção, mas muda a ordem das prioridades: governança e segurança devem vir antes de uso amplo de dados sensíveis."
"dados-11","dados","dados_q6","forca-existente","3","dados-seguranca","Baixa exposição facilita primeiros casos de uso","dados_q6 = 4 (impacto mínimo de vazamento)","5/5","dados_q6 equals 4","[{""questionId"":""dados_q6"",""op"":""equals"",""values"":[4]}]","Quando o impacto provável de um vazamento é limitado, a empresa tem mais espaço para começar por casos de uso de menor risco. Ainda assim, é importante manter controles proporcionais, porque a exposição pode aumentar conforme novas fontes de dados e integrações entram no escopo."
"estrategia-01","estrategia","est_q1","risco-critico","1","estrategia-visao","Sem visão nem patrocínio para IA","est_q1 = 3 (""Não"" definiu visão) AND est_q1b = 3 (""Não"" conhece potencial/valor econômico)","0","est_q1 equals 3 AND est_q1b equals 3","[{""questionId"":""est_q1"",""op"":""equals"",""values"":[3]},{""questionId"":""est_q1b"",""op"":""equals"",""values"":[3]}]","Essa combinação indica alto risco organizacional: não há visão estratégica clara e a liderança ainda não compreende bem o valor econômico da IA. Um piloto técnico iniciado nesse contexto pode perder força por falta de prioridade executiva. O próximo passo deve ser alinhar tese de valor, objetivos de negócio e critérios de decisão antes de escolher uma solução."
"estrategia-02","estrategia","est_q1a1a","forca-existente","3","estrategia-roadmap","Governança estratégica bem definida","est_q1 = 1 (""Sim"") AND est_q1a = 1 (""Sim"") AND est_q1a1 = 1 (""Sim"") AND est_q1a1a = 4 (""Mensalmente ou mais"")","cadeia completa, pontuação máxima","est_q1 equals 1 AND est_q1a equals 1 AND est_q1a1 equals 1 AND est_q1a1a equals 4","[{""questionId"":""est_q1"",""op"":""equals"",""values"":[1]},{""questionId"":""est_q1a"",""op"":""equals"",""values"":[1]},{""questionId"":""est_q1a1"",""op"":""equals"",""values"":[1]},{""questionId"":""est_q1a1a"",""op"":""equals"",""values"":[4]}]","Visão, áreas priorizadas, roadmap documentado e revisão frequente formam uma base estratégica madura. A organização provavelmente já pode tratar IA como um portfólio de iniciativas, com critérios de prioridade, responsáveis e acompanhamento de valor, em vez de depender apenas de pilotos isolados."
"estrategia-03","estrategia","est_q1a1","oportunidade","2","estrategia-roadmap","Falta transformar análise em roadmap","est_q1 = 1 (""Sim"") AND est_q1a = 1 (""Sim"") AND est_q1a1 = 2 (""Não"" existe roadmap)","áreas mapeadas, roadmap ausente","est_q1 equals 1 AND est_q1a equals 1 AND est_q1a1 equals 2","[{""questionId"":""est_q1"",""op"":""equals"",""values"":[1]},{""questionId"":""est_q1a"",""op"":""equals"",""values"":[1]},{""questionId"":""est_q1a1"",""op"":""equals"",""values"":[2]}]","A liderança já identificou onde a IA pode gerar retorno, mas isso ainda não virou um plano executável. Esse é um gap de tradução entre intenção e execução. O próximo passo é transformar as oportunidades em roadmap, com prioridades, responsáveis, dependências, métricas e horizonte de 12 a 24 meses."
"estrategia-04","estrategia","est_q2","proximo-passo","2","estrategia-maturidade","Experimentação pontual, sem estratégia","est_q2 = 1 (Experimentação, sem estratégia definida)","0/7","est_q2 equals 1","[{""questionId"":""est_q2"",""op"":""equals"",""values"":[1]}]","Esse é um estágio comum de entrada: a empresa testa IA, mas ainda sem direção consistente. O próximo passo não precisa ser um programa amplo; tende a ser mais efetivo escolher um caso de uso bem delimitado, com métrica de sucesso clara, dono definido e critério objetivo para decidir se a iniciativa deve escalar."
"estrategia-05","estrategia","est_q2","forca-existente","3","estrategia-maturidade","IA como vantagem competitiva estrutural","est_q2 = 4 (Vantagem competitiva central)","7/7","est_q2 equals 4","[{""questionId"":""est_q2"",""op"":""equals"",""values"":[4]}]","Quando a IA já faz parte da proposta de valor, a prioridade muda de adoção para sustentação da vantagem. Isso exige proteger ativos de dados, acompanhar desempenho dos modelos, manter cadência de melhoria e garantir que a capacidade não dependa de iniciativas isoladas ou pessoas específicas."
"estrategia-06","estrategia","est_q3","risco-critico","1","estrategia-patrocinio","Sem patrocínio executivo","est_q3 = 1 (""De forma nenhuma"" há patrocínio executivo)","0/7","est_q3 equals 1","[{""questionId"":""est_q3"",""op"":""equals"",""values"":[1]}]","Sem patrocínio executivo, projetos de IA tendem a ficar restritos a experimentos locais, mesmo quando a tecnologia funciona. Antes de ampliar o escopo, é importante definir quem será responsável por priorizar, remover bloqueios e defender o investimento com base em valor de negócio."
"estrategia-07","estrategia","est_q3","forca-existente","3","estrategia-patrocinio","Patrocínio executivo forte e visível","est_q3 = 5 (""De forma consistente e visível"")","7/7","est_q3 equals 5","[{""questionId"":""est_q3"",""op"":""equals"",""values"":[5]}]","Patrocínio forte e visível reduz o risco organizacional de escalar IA. Com apoio executivo, a empresa tende a ter mais capacidade de priorizar recursos, resolver dependências entre áreas e sustentar iniciativas que exigem mudança de processo, não apenas desenvolvimento técnico."
"estrategia-08","estrategia","est_q3a","risco-critico","2","estrategia-entrega","Atrasos recorrentes apesar do patrocínio","est_q3 answered AND est_q3a = 1 (""Quase sempre"" há atrasos)","0/4","est_q3 equals 1|2|3|4|5 AND est_q3a equals 1","[{""questionId"":""est_q3"",""op"":""equals"",""values"":[1,2,3,4,5]},{""questionId"":""est_q3a"",""op"":""equals"",""values"":[1]}]","Quando as iniciativas atrasam com frequência, o problema pode estar menos na estratégia e mais na capacidade de execução: disponibilidade técnica, dependências de dados, governança de aprovação ou escopo pouco claro. Vale identificar o gargalo dominante antes de iniciar novas frentes, para não acumular mais iniciativas paradas."
"estrategia-09","pessoas","pess_q2a","forca-existente","3","pessoas-experimentacao","Pipeline de inovação já em prática","pess_q2 = 5 (""Continuamente"" experimenta) AND pess_q2a = 4 (processo priorizado, medido, com critério de escalar/encerrar)","combinação de topo","pess_q2 equals 5 AND pess_q2a equals 4","[{""questionId"":""pess_q2"",""op"":""equals"",""values"":[5]},{""questionId"":""pess_q2a"",""op"":""equals"",""values"":[4]}]","Experimentação contínua e medida, com critérios para escalar ou encerrar, indica uma boa disciplina de inovação. O próximo passo é garantir que os aprendizados virem ativos reutilizáveis: documentação, métricas, padrões técnicos e um caminho claro para levar experimentos bem-sucedidos à produção."
"pessoas-01","pessoas","pess_q3","risco-critico","1","pessoas-capacidade","Nenhuma capacidade interna em dados ou IA","pess_q3 inclui apenas ""Nenhuma das anteriores""","0","pess_q3 includes all 5","[{""questionId"":""pess_q3"",""op"":""includesAll"",""values"":[5]}]","A ausência de capacidade interna em dados ou IA aumenta o risco de depender demais de fornecedores, ferramentas soltas ou iniciativas sem dono técnico. A empresa pode começar com apoio externo, mas precisa definir quem internamente será capaz de priorizar, validar resultados e absorver conhecimento ao longo do tempo."
"pessoas-02","pessoas","pess_q3","oportunidade","2","pessoas-capacidade","Base de dados sem capacidade de IA","pess_q3 inclui ""Engenharia de Dados"" e não inclui IA generativa nem IA tradicional","n/a","pess_q3 includes all 1 AND pess_q3 excludes any 2|3","[{""questionId"":""pess_q3"",""op"":""includesAll"",""values"":[1]},{""questionId"":""pess_q3"",""op"":""excludesAny"",""values"":[2,3]}]","Ter engenharia de dados sem capacidade de IA é uma posição melhor do que parece: a fundação já existe, mas ainda falta transformar dados em modelos, automações ou recomendações. O caminho mais eficiente tende a ser começar por casos de uso pequenos e formar capacidade interna enquanto os primeiros projetos avançam."
"pessoas-03","pessoas","pess_q3","forca-existente","3","pessoas-capacidade","Capacidade dupla: IA preditiva e generativa","pess_q3 inclui ""Engenharia de IA generativa"" e ""Engenharia de IA tradicional""","n/a","pess_q3 includes all 2|3","[{""questionId"":""pess_q3"",""op"":""includesAll"",""values"":[2,3]}]","Ter capacidade interna tanto em IA preditiva quanto generativa abre caminhos complementares: modelos baseados em padrões, automações com linguagem natural, assistentes internos e melhorias em decisões operacionais. A prioridade passa a ser coordenação, reutilização e escolha dos casos de maior valor, não apenas aquisição de capacidade."
"pessoas-04","pessoas","pess_q4","risco-critico","1","pessoas-cultura","Resistência cultural à mudança","pess_q4 = 1 (colaboradores ""Resistentes"")","0/2","pess_q4 equals 1","[{""questionId"":""pess_q4"",""op"":""equals"",""values"":[1]}]","Resistência cultural pode comprometer projetos de IA mesmo quando a solução técnica é adequada. Isso sugere começar com casos de uso mais visíveis, de baixo atrito e com benefícios claros para os colaboradores, antes de propor mudanças amplas em processos ou ferramentas."
"pessoas-05","pessoas","pess_q4","forca-existente","3","pessoas-cultura","Equipe altamente receptiva à IA","pess_q4 = 5 (""Altamente receptivos"")","2/2","pess_q4 equals 5","[{""questionId"":""pess_q4"",""op"":""equals"",""values"":[5]}]","Alta receptividade reduz o risco de adoção lenta e aumenta a chance de aprendizado rápido. A organização pode ser um pouco mais ambiciosa no desenho dos pilotos, desde que mantenha métricas claras, comunicação transparente e suporte para as equipes afetadas."
"pessoas-06","pessoas","pess_q5","oportunidade","2","pessoas-avaliacao","Sem critério para avaliar onde usar IA","pess_q5 = 1 (sem conhecimento suficiente para avaliar se IA é a ferramenta adequada)","0/4","pess_q5 equals 1","[{""questionId"":""pess_q5"",""op"":""equals"",""values"":[1]}]","Sem critérios claros para decidir quando IA é adequada, a organização pode priorizar casos de uso chamativos, mas pouco relevantes, ou ignorar oportunidades com alto impacto. Vale criar uma matriz simples de avaliação, combinando valor esperado, viabilidade de dados, risco, esforço e dependência operacional."
"pessoas-07","pessoas","pess_q6","oportunidade","2","pessoas-capacitacao","Falta capacitação formal em IA","pess_q6 = 1 (sem programas formais de treinamento em IA)","0/2.5","pess_q6 equals 1","[{""questionId"":""pess_q6"",""op"":""equals"",""values"":[1]}]","Sem capacitação formal, a adoção pode ficar atrás da implementação: ferramentas são disponibilizadas, mas o uso real permanece baixo. Iniciativas de IA devem incluir treinamento, comunicação, transferência de conhecimento e responsáveis internos, não apenas entregáveis técnicos."
"governanca-01","governanca","gov_q1","risco-critico","1","governanca-documentacao","Processos críticos não documentados","gov_q1 = 1 (processos críticos ""Não documentados"")","0/5","gov_q1 equals 1","[{""questionId"":""gov_q1"",""op"":""equals"",""values"":[1]}]","É difícil automatizar de forma confiável um processo que não está documentado. A falta de clareza sobre etapas, exceções e responsáveis aumenta escopo, retrabalho e risco operacional. Antes de automatizar, vale mapear os processos críticos e identificar onde há variação real versus apenas falta de padronização."
"governanca-02","governanca","gov_q1","forca-existente","3","governanca-documentacao","Processos prontos para automação","gov_q1 = 4 (""Totalmente documentados"")","5/5","gov_q1 equals 4","[{""questionId"":""gov_q1"",""op"":""equals"",""values"":[4]}]","Processos bem documentados reduzem bastante o risco de automação, porque etapas, entradas, saídas e exceções já estão explícitas. A empresa pode avaliar automações com mais precisão e estimar impacto com menos incerteza do que organizações que ainda precisam descobrir como o trabalho acontece."
"governanca-03","governanca","gov_q2","risco-critico","1","governanca-seguranca","Sem diretrizes de segurança para IA","gov_q2 = 1 (sem diretrizes, controles ou responsáveis de segurança de IA)","0/6","gov_q2 equals 1","[{""questionId"":""gov_q2"",""op"":""equals"",""values"":[1]}]","A ausência de diretrizes, controles e responsáveis para riscos de IA cria exposição relevante, especialmente quando há dados sensíveis, decisões automatizadas ou ferramentas generativas. Governança de segurança e privacidade deve ser definida antes de qualquer uso em produção, para evitar que o controle venha apenas depois de um incidente."
"governanca-04","governanca","gov_q2","oportunidade","2","governanca-seguranca","Segurança de TI genérica, não específica de IA","gov_q2 = 2 (riscos tratados por TI genérica, sem abordagem específica de IA)","3/6","gov_q2 equals 2","[{""questionId"":""gov_q2"",""op"":""equals"",""values"":[2]}]","Processos gerais de TI e segurança ajudam, mas podem não cobrir riscos específicos de IA, como exposição de dados em prompts, uso indevido de modelos, decisões sem revisão humana ou falta de rastreabilidade. Antes de escalar, vale adaptar controles existentes para o contexto de IA."
"governanca-05","governanca","gov_q2","forca-existente","3","governanca-seguranca","Governança de IA madura e específica","gov_q2 = 3 (responsabilidades e controles claramente definidos e adaptados a riscos de IA)","6/6","gov_q2 equals 3","[{""questionId"":""gov_q2"",""op"":""equals"",""values"":[3]}]","Governança específica para IA é uma vantagem importante, especialmente em setores regulados ou com dados sensíveis. Com responsabilidades e controles claros, a empresa pode avaliar casos de uso mais complexos com menos atrito, mantendo segurança, privacidade e supervisão como parte do desenho desde o início."
"tecnologia-01","tecnologia","tec_q1b","oportunidade","2","tecnologia-maturidade-inicial","Ponto de partida limpo, sem legado","tec_q1 = 1 (ainda não existem projetos) AND tec_q1b = 1 (""Não"", começaria do zero)","0","tec_q1 equals 1 AND tec_q1b equals 1","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[1]},{""questionId"":""tec_q1b"",""op"":""equals"",""values"":[1]}]","Ainda não ter projetos de IA pode ser uma vantagem se a empresa usar esse momento para desenhar bem a base. Sem legado técnico para contornar, o melhor caminho tende a ser um piloto único, bem delimitado e com duração curta, em vez de um programa amplo antes de validar dados, integrações e governança."
"tecnologia-02","tecnologia","tec_q1b","forca-existente","3","tecnologia-maturidade-inicial","Base técnica pronta, sem projetos ainda","tec_q1 = 1 (ainda não existem projetos) AND tec_q1b = 3 (""Sim"", conseguiria conectar dados/sistemas)","3.5","tec_q1 equals 1 AND tec_q1b equals 3","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[1]},{""questionId"":""tec_q1b"",""op"":""equals"",""values"":[3]}]","A empresa ainda não iniciou projetos de IA, mas já parece ter condições técnicas para conectar dados e sistemas. Isso sugere que a barreira principal pode ser prioridade, caso de uso ou patrocínio, não infraestrutura. Um piloto bem escolhido tende a começar mais rápido do que em organizações que ainda precisam preparar a base técnica."
"tecnologia-03","tecnologia","tec_q1c","risco-critico","2","tecnologia-execucao","Projetos de IA parados","tec_q1 = 2 (1 a 4 projetos) AND tec_q1c = 1 (""Parados"")","0/2","tec_q1 equals 2 AND tec_q1c equals 1","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[2]},{""questionId"":""tec_q1c"",""op"":""equals"",""values"":[1]}]","Projetos de IA parados nem sempre indicam que a tecnologia falhou. Muitas vezes o problema está em dono indefinido, escopo amplo demais, dependências de dados ou falta de critério de sucesso. Antes de recomeçar do zero, vale diagnosticar o que travou e decidir se o projeto deve ser retomado, simplificado ou encerrado."
"tecnologia-04","tecnologia","tec_q1d","proximo-passo","2","tecnologia-arquitetura","IA tradicional e generativa em paralelo","tec_q1 = 2 (1 a 4 projetos) AND tec_q1d = 4 (""Misto"", IA tradicional e generativa)","2/2","tec_q1 equals 2 AND tec_q1d equals 4","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[2]},{""questionId"":""tec_q1d"",""op"":""equals"",""values"":[4]}]","Rodar IA tradicional e generativa em paralelo pode ser saudável, mas aumenta a complexidade de integração, manutenção e governança. A empresa deve padronizar práticas de versionamento, monitoramento, documentação e responsabilidade operacional para evitar que cada novo projeto crie um modelo próprio de trabalho."
"tecnologia-05","tecnologia","tec_q1e","risco-critico","2","tecnologia-integracao","IA isolada dos sistemas centrais","tec_q1 = 2 (1 a 4 projetos) AND tec_q1e = 1 (sem integração a sistemas internos)","0/2","tec_q1 equals 2 AND tec_q1e equals 1","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[2]},{""questionId"":""tec_q1e"",""op"":""equals"",""values"":[1]}]","Projetos de IA desconectados dos sistemas centrais tendem a ficar restritos a poucos usuários e gerar pouco impacto operacional. A integração com ferramentas de trabalho, dados e fluxos de decisão é o que transforma uma prova de conceito em uma capacidade realmente usada pela empresa."
"tecnologia-06","tecnologia","tec_q1g","forca-existente","3","tecnologia-arquitetura","Arquitetura pensada para reuso","tec_q1 = 2 (1 a 4 projetos) AND tec_q1g = 3 (soluções reutilizáveis e escaláveis)","2/2","tec_q1 equals 2 AND tec_q1g equals 3","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[2]},{""questionId"":""tec_q1g"",""op"":""equals"",""values"":[3]}]","Construir soluções reutilizáveis desde o início reduz retrabalho e cria uma base para escalar além de projetos pontuais. A próxima evolução é formalizar padrões técnicos e operacionais, para que novos casos de uso aproveitem componentes, integrações e aprendizados já existentes."
"tecnologia-07","tecnologia","tec_q2a","risco-critico","2","tecnologia-manutencao","Portfólio de IA sem manutenção","tec_q1 = 3 (5 ou mais projetos) AND tec_q2a = 1 (não são atualizados com frequência)","0/2","tec_q1 equals 3 AND tec_q2a equals 1","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[3]},{""questionId"":""tec_q2a"",""op"":""equals"",""values"":[1]}]","Ter vários projetos sem cadência de atualização cria um risco silencioso: modelos podem perder precisão com o tempo, integrações podem quebrar e métricas podem piorar sem alerta claro. Antes de adicionar novas iniciativas, vale revisar saúde, responsáveis, monitoramento e frequência de manutenção do portfólio existente."
"tecnologia-08","tecnologia","tec_q2b","forca-existente","3","tecnologia-integracao","Ecossistema de IA já integrado","tec_q1 = 3 (5 ou mais projetos) AND tec_q2b = 3 (""Ecossistema integrado"")","2/2","tec_q1 equals 3 AND tec_q2b equals 3","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[3]},{""questionId"":""tec_q2b"",""op"":""equals"",""values"":[3]}]","Um ecossistema de IA integrado indica que a organização já passou da fase de ferramentas isoladas. O próximo desafio é sustentar escala: governança de plataforma, padrões de integração, monitoramento, gestão de custos e critérios claros para adicionar novos casos de uso sem aumentar complexidade desnecessária."
"tecnologia-09","tecnologia","tec_q2e","risco-critico","1","tecnologia-resultados","Volume de projetos sem resultado comprovado","tec_q1 = 3 (5 ou mais projetos) AND tec_q2e = 1 (nenhum resultado mensurável entregue)","0/1","tec_q1 equals 3 AND tec_q2e equals 1","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[3]},{""questionId"":""tec_q2e"",""op"":""equals"",""values"":[1]}]","Ter cinco ou mais projetos sem resultado mensurável é um sinal de alerta. Isso pode indicar que os critérios de sucesso não foram definidos antes da execução, ou que os resultados não estão sendo medidos de forma consistente. Antes de construir mais, a empresa deve revisar o impacto do que já existe e padronizar métricas de valor."
"tecnologia-10","tecnologia","tec_q2f","forca-existente","3","tecnologia-arquitetura","Plataforma de IA pronta para escalar","tec_q1 = 3 (5 ou mais projetos) AND tec_q2f = 3 (soluções reutilizáveis e escaláveis)","2/2","tec_q1 equals 3 AND tec_q2f equals 3","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[3]},{""questionId"":""tec_q2f"",""op"":""equals"",""values"":[3]}]","Com cinco ou mais projetos e arquitetura reutilizável, a empresa já se aproxima de uma capacidade de plataforma, não apenas de experimentação. A prioridade passa a ser sustentar escala: governança, monitoramento, documentação, gestão de custos e mecanismos para reaproveitar componentes entre áreas."
"tecnologia-11","tecnologia","tec_q1","proximo-passo","4","tecnologia-meta","Tecnologia merece leitura cuidadosa","tec_q1 respondido (qualquer valor)","0 versus 4 pontos-base","tec_q1 equals 1|2|3","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[1,2,3]}]","A dimensão de Tecnologia costuma concentrar diferenças grandes entre empresas: algumas ainda estão preparando a base, enquanto outras já operam vários projetos. Por isso, a leitura deste pilar deve considerar não apenas quantidade de iniciativas, mas também integração, manutenção, mensuração de valor e capacidade de escalar sem retrabalho."
